en,zh-cn,zh-tw,pos,description,,,,,,,,,,,,,,,,,,,,,
screen reader,屏幕阅读器,螢幕閱讀器,noun,,,,,,,,,,,,,,,,,,,,,,
screenshot,截屏,螢幕擷圖,noun,,,,,,,,,,,,,,,,,,,,,,
script,脚本,指令碼,noun,,,,,,,,,,,,,,,,,,,,,,
script tag,脚本标签,指令碼標籤,noun,,,,,,,,,,,,,,,,,,,,,,
search box,搜索框,搜尋框,noun,适用于搜索引擎相关内容,,,,,,,,,,,,,,,,,,,,,
search engine,搜索引擎,搜尋引擎,noun,适用于搜索引擎相关内容,,,,,,,,,,,,,,,,,,,,,
search engine optimization,搜索引擎优化,搜尋引擎最佳化,noun,适用于搜索引擎相关内容，SEO 是 Search Engine Optimization (Search Engine Optimization) 的缩写,,,,,,,,,,,,,,,,,,,,,
section,区段,區段,noun,,,,,,,,,,,,,,,,,,,,,,
security,安全性,安全性,noun,,,,,,,,,,,,,,,,,,,,,,
security key,安全密钥,安全金鑰,noun,,,,,,,,,,,,,,,,,,,,,,
security token,安全令牌,安全性憑證,noun,,,,,,,,,,,,,,,,,,,,,,
select,选择,選取,verb,,,,,,,,,,,,,,,,,,,,,,
select all,全选,全部選取,noun,,,,,,,,,,,,,,,,,,,,,,
selector,选择器,選取器,noun,,,,,,,,,,,,,,,,,,,,,,
self-hosted,自托管,自主代管,adjective,,,,,,,,,,,,,,,,,,,,,,
semicolon,分号,分號,noun,适用于标点符号 ;,,,,,,,,,,,,,,,,,,,,,
sensitive,敏感性,敏感性,adjective,,,,,,,,,,,,,,,,,,,,,,
sensitive information,敏感性信息,敏感性資訊,noun,,,,,,,,,,,,,,,,,,,,,,
sensor,传感器,感應器,noun,,,,,,,,,,,,,,,,,,,,,,
SEO,SEO,SEO,noun,,,,,,,,,,,,,,,,,,,,,,
Seoul,首尔,首爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
separator,分隔符,分隔符號,noun,,,,,,,,,,,,,,,,,,,,,,
Serbian,塞尔维亚语,塞爾維亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Serbian dinar,塞尔维亚第纳尔,塞爾維亞戴納,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
serialize,连载,序列化,verb,,,,,,,,,,,,,,,,,,,,,,
server,服务器,伺服器,noun,,,,,,,,,,,,,,,,,,,,,,
service,服务,服務,noun,,,,,,,,,,,,,,,,,,,,,,
service mark,服务标记,服務標章,noun,,,,,,,,,,,,,,,,,,,,,,
session,会话,工作階段,noun,,,,,,,,,,,,,,,,,,,,,,
setting,设置,設定,noun,,,,,,,,,,,,,,,,,,,,,,
setting,设置,設定,verb,,,,,,,,,,,,,,,,,,,,,,
Seychellois rupee,塞舌尔卢比,塞席爾盧比,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
shallow copy,浅层拷贝,淺層複製,noun,对来源项目进行浅层复制，目标项目与来源项目共享相同引用的复本。在这种状态下，无论变更来源项目或目标项目，都会导致另一个项目的变更。,,,,,,,,,,,,,,,,,,,,,
Shanghai,上海,上海,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
share,分享,分享,verb,,,,,,,,,,,,,,,,,,,,,,
Shared Hosting,共享主机,共享主機,noun,,,,,,,,,,,,,,,,,,,,,,
Shift,Shift 键,Shift 鍵,noun,键盘按键名称,,,,,,,,,,,,,,,,,,,,,
shim,填充码,填充碼,noun,,,,,,,,,,,,,,,,,,,,,,
Shiprock,希普罗克,希普羅克峰,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Shona,绍纳语,紹納文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Short URL,短网址,短網址,noun,,,,,,,,,,,,,,,,,,,,,,
shortcode,简码,短代碼,noun,,,,,,,,,,,,,,,,,,,,,,
shortcut,快速键,快速鍵,noun,,,,,,,,,,,,,,,,,,,,,,
shortcut,捷径,捷徑,noun,,,,,,,,,,,,,,,,,,,,,,
Sichuan Yi,四川彝语,四川彝文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
sidebar,侧边栏,資訊欄,noun,适用于 WordPress 插件及主题,,,,,,,,,,,,,,,,,,,,,
Sierra Leonean leone,塞拉利昂利昂,獅子山利昂,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Signal,Signal,Signal,noun,即时通讯软件名称,,,,,,,,,,,,,,,,,,,,,
signal,信号,訊號,noun,即时通讯软件名称,,,,,,,,,,,,,,,,,,,,,
Silesian,西里西亚语,西萊亞西文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Simferopol,辛菲罗波尔,欣佛洛普,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Simplified Chinese,简体中文,簡體中文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Simplified Chinese Formal,简体中文 (正式),簡體中文 (正式),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Simplified Chinese Informal,简体中文 (口语),簡體中文 (口語),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Sindhi,信德语,信德文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Singapore,新加坡,新加坡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Singapore dollar,新加坡元,新加坡元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
single page,单篇页面,單篇頁面,noun,,,,,,,,,,,,,,,,,,,,,,
single post,单篇文章,單篇文章,noun,适用于确定 Post 所指确实是 [文章] 内容类型时,,,,,,,,,,,,,,,,,,,,,
single post,单篇内容,單篇內容,noun,,,,,,,,,,,,,,,,,,,,,,
Single Sign-On,单点登录,單一登入,noun,,,,,,,,,,,,,,,,,,,,,,
Sinhala,僧伽罗语,僧伽羅文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
site,网站,網站,noun,,,,,,,,,,,,,,,,,,,,,,
site editor,网站编辑,網站編輯器,noun,,,,,,,,,,,,,,,,,,,,,,
site language,网站语言,網站介面語言,noun,,,,,,,,,,,,,,,,,,,,,,
sitemap,站点地图,sitemap,noun,,,,,,,,,,,,,,,,,,,,,,
Sitka,锡特卡,矽地卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Skopje,斯科普里,斯高彼亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
SKU,SKU,SKU,noun,适用于电子商务，全名为 Stock Keeping Unit。这是商品的唯一标识符，通常由英数字组成。基于管理库存目的，SKU 用于追踪商品。SKU 可与任何可购买的项目产生关联；举例来说，一件编号为 1114、尺寸为 8 的外套，SKU 便可以订为 1114-8。,,,,,,,,,,,,,,,,,,,,,
SKU,库存单位,庫存單位,noun,适用于电子商务，全名为 Stock Keeping Unit。这是商品的唯一标识符，通常由英数字组成。基于管理库存目的，SKU 用于追踪商品。SKU 可与任何可购买的项目产生关联；举例来说，一件编号为 1114、尺寸为 8 的外套，SKU 便可以订为 1114-8。,,,,,,,,,,,,,,,,,,,,,
SKU,商品货号,商品貨號,noun,适用于电子商务，全名为 Stock Keeping Unit。这是商品的唯一标识符，通常由英数字组成。基于管理库存目的，SKU 用于追踪商品。SKU 可与任何可购买的项目产生关联；举例来说，一件编号为 1114、尺寸为 8 的外套，SKU 便可以订为 1114-8。,,,,,,,,,,,,,,,,,,,,,
SKU,货号,貨號,noun,适用于电子商务，全名为 Stock Keeping Unit。这是商品的唯一标识符，通常由英数字组成。基于管理库存目的，SKU 用于追踪商品。SKU 可与任何可购买的项目产生关联；举例来说，一件编号为 1114、尺寸为 8 的外套，SKU 便可以订为 1114-8。,,,,,,,,,,,,,,,,,,,,,
Skype,Skype,Skype,noun,即时通讯软件名称,,,,,,,,,,,,,,,,,,,,,
Slack,Slack,Slack,noun,协同服务名称,,,,,,,,,,,,,,,,,,,,,
Slovak,斯洛伐克语,斯洛伐克文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Slovenian,斯洛文尼亚语,斯洛維尼亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
slug,别名,代稱,noun,,,,,,,,,,,,,,,,,,,,,,
smooth,平滑,平滑,adjective,,,,,,,,,,,,,,,,,,,,,,
smooth scroll,平滑卷动,平滑捲動,noun,,,,,,,,,,,,,,,,,,,,,,
Snapchat,Snapchat,Snapchat,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
snapshot,快照,快照,noun,,,,,,,,,,,,,,,,,,,,,,
snippet,代码片段,程式碼片段,noun,,,,,,,,,,,,,,,,,,,,,,
social,社交网络服务,社交網路服務,noun,,,,,,,,,,,,,,,,,,,,,,
social,社交,社交,noun,,,,,,,,,,,,,,,,,,,,,,
social engineering,社会工程学,社会工程学,noun,「社会工程学」是指借由发布内容，诱骗用户进行只会为自身信赖的实体采取的行动 (例如提供机密信息)、下载垃圾软件或恶意软件，或是落入网络诈骗/钓鱼的圈套。,,,,,,,,,,,,,,,,,,,,,
social icon,社交图标,社交網路服務圖示,noun,,,,,,,,,,,,,,,,,,,,,,
social media,社交媒体,社交網路服務媒體,,,,,,,,,,,,,,,,,,,,,,,
social network,社交网络,社交網路服務,noun,,,,,,,,,,,,,,,,,,,,,,
social share,社交分享,社交網路服務分享,noun,,,,,,,,,,,,,,,,,,,,,,
socket,通信端,通訊端,noun,,,,,,,,,,,,,,,,,,,,,,
Sofia,索菲亚,索菲亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
software,运行时发生错误,軟體,noun,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands dollar,所罗门群岛元,索羅門群島元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
solution,解决方案,解決方案,noun,,,,,,,,,,,,,,,,,,,,,,
Somali,索马里语,索馬利亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Somali shilling,索马里先令,索馬利亞先令,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
something went wrong,出了些问题,執行時發生錯誤,verb,,,,,,,,,,,,,,,,,,,,,,
source code,源代码,原始程式碼,noun,,,,,,,,,,,,,,,,,,,,,,
South,南方,南澳省,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
South African rand,南非兰特,南非蘭特,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
South Azerbaijani,南阿塞拜疆语,南亞塞拜然文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
South Georgia,南乔治亚岛,南喬治亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
South Korean,韩国,韓國,noun,,,,,,,,,,,,,,,,,,,,,,
South Korean won,韩元,韓圓,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
South Ndebele,南恩德贝莱,南恩德比利文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
South Pole,南极,南極,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
South Sudanese pound,南苏丹镑,南蘇丹鎊,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Southern Sotho,南索托语,南索托文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
spacer,空白间隔,空白間隔,noun,,,,,,,,,,,,,,,,,,,,,,
spacing,间距,間距,noun,,,,,,,,,,,,,,,,,,,,,,
spam,标记为垃圾消息,標示為垃圾訊息,verb,适用于 spam 包含垃圾留言及垃圾邮件的状况,,,,,,,,,,,,,,,,,,,,,
spam,垃圾消息,垃圾訊息,noun,适用于 spam 包含垃圾留言及垃圾邮件的状况,,,,,,,,,,,,,,,,,,,,,
spam,标示为垃圾留言,標示為垃圾留言,verb,,,,,,,,,,,,,,,,,,,,,,
spam,标示为垃圾邮件,標示為垃圾郵件,verb,,,,,,,,,,,,,,,,,,,,,,
spam,垃圾留言,垃圾留言,noun,,,,,,,,,,,,,,,,,,,,,,
spam,垃圾邮件,垃圾郵件,noun,,,,,,,,,,,,,,,,,,,,,,
Spanish,西班牙语,西班牙文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Argentina),西班牙语（阿根廷）,西班牙文 (阿根廷),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Chile),西班牙语（智利）,西班牙文 (智利),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Colombia),西班牙语（哥伦比亚）,西班牙文 (哥倫比亞),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Costa Rica),西班牙语（哥斯达黎加）,西班牙文 (哥斯大黎加),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Dominican Republic),西班牙语（多米尼加共和国）,西班牙文 (多明尼加共和國),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Ecuador),西班牙语（厄瓜多尔）,西班牙文 (厄瓜多爾),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Guatemala),西班牙语（危地马拉）,西班牙文 (瓜地馬拉),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Mexico),西班牙语（墨西哥）,西班牙文 (墨西哥),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Peru),西班牙语（秘鲁）,西班牙文 (祕魯),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Puerto Rico),西班牙语（波多黎各）,西班牙文 (波多黎各),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Spain),西班牙语（西班牙）,西班牙文 (西班牙),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Uruguay),西班牙语（乌拉圭）,西班牙文 (烏拉圭),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Spanish (Venezuela),西班牙语（委内瑞拉）,西班牙文 (委內瑞拉),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
spider,网络爬虫,自動尋檢程式,noun,Google 中国官方译文，适用于搜索引擎相关内容,,,,,,,,,,,,,,,,,,,,,
Spotify,Spotify,Spotify,noun,在线影音流媒体服务名称,,,,,,,,,,,,,,,,,,,,,
square,正方形,正方形,noun,适用于形状,,,,,,,,,,,,,,,,,,,,,
Srednekolymsk,中科雷姆斯克,中科雷姆斯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Sri Lankan rupee,斯里兰卡卢比,斯里蘭卡盧比,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
ssl certificate,SSL证书,SSL 憑證,noun,,,,,,,,,,,,,,,,,,,,,,
SSO,SSO,SSO,noun,SSO 通常是 Single Sign-On (单点登录) 的缩写,,,,,,,,,,,,,,,,,,,,,
SSO,单点登录,單一登入,noun,SSO 通常是 Single Sign-On (单点登录) 的缩写,,,,,,,,,,,,,,,,,,,,,
St Barthelemy,圣巴泰勒米岛,聖巴泰勒米,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Helena,圣赫勒拿岛,聖赫勒拿島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Johns,圣约翰斯,聖約翰,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Kitts,圣基茨,聖克里斯多福,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Lucia,圣卢西亚,聖露西亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Thomas,圣托马斯,聖湯瑪士,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
St Vincent,圣文森特,聖文森,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
staging,预备环境,預備環境,noun,适用于网站建设,,,,,,,,,,,,,,,,,,,,,
Standard,标准,標準,noun,WordPress 核心程序内建的文章格式 (Post Format) 之一，需要主题支持才能显示,,,,,,,,,,,,,,,,,,,,,
Stanley,斯坦利,史坦萊,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
starter,入门,入門,noun,,,,,,,,,,,,,,,,,,,,,,
starter,起始,起始,noun,,,,,,,,,,,,,,,,,,,,,,
starter kit,入门套件,入門套件,noun,,,,,,,,,,,,,,,,,,,,,,
startup,启动,啟動,verb,,,,,,,,,,,,,,,,,,,,,,
startup,启动,啟動,noun,,,,,,,,,,,,,,,,,,,,,,
startup,起始,起始,adjective,,,,,,,,,,,,,,,,,,,,,,
startup folder,起始文件夹,起始資料夾,noun,,,,,,,,,,,,,,,,,,,,,,
stat,统计数据,統計資料,noun,,,,,,,,,,,,,,,,,,,,,,
statement,陈述式,陳述式,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
statement,声明,聲明,noun,,,,,,,,,,,,,,,,,,,,,,
statistics,统计数据,統計資料,noun,,,,,,,,,,,,,,,,,,,,,,
Status,状态,近況簡述,noun,WordPress 核心程序内建的文章格式 (Post Format) 之一，需要主题支持才能显示,,,,,,,,,,,,,,,,,,,,,
status,状态,狀態,noun,,,,,,,,,,,,,,,,,,,,,,
status code,状态码,狀態代碼,noun,,,,,,,,,,,,,,,,,,,,,,
step by step,分步,逐步,noun,,,,,,,,,,,,,,,,,,,,,,
step by step guide,分步指南,逐步指南,noun,,,,,,,,,,,,,,,,,,,,,,
step-by-step,分步,逐步,noun,,,,,,,,,,,,,,,,,,,,,,
step-by-step guide,分步指南,逐步指南,noun,,,,,,,,,,,,,,,,,,,,,,
sticky,置顶文章,置頂文章,noun,,,,,,,,,,,,,,,,,,,,,,
sticky,固定于页眉,固定於頁首,verb,,,,,,,,,,,,,,,,,,,,,,
sticky,置顶,置頂,verb,,,,,,,,,,,,,,,,,,,,,,
sticky,固定式,固定式,adjective,,,,,,,,,,,,,,,,,,,,,,
sticky,固定位置,固定位置,adverb,,,,,,,,,,,,,,,,,,,,,,
Stock Keeping Unit,库存单位,庫存單位,noun,适用于电子商务，缩写为 SKU。这是商品的唯一标识符，通常由英数字组成。基于管理库存目的，SKU 用于追踪商品。SKU 可与任何可购买的项目产生关联；举例来说，一件编号为 1114、尺寸为 8 的外套，SKU 便可以订为 1114-8。,,,,,,,,,,,,,,,,,,,,,
Stockholm,斯德哥尔摩,斯德哥爾摩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
storage space,储存空间,儲存空間,noun,,,,,,,,,,,,,,,,,,,,,,
structure,结构,結構,noun,,,,,,,,,,,,,,,,,,,,,,
structure tag,结构标签,結構標籤,noun,,,,,,,,,,,,,,,,,,,,,,
structured data,结构化数据,結構化資料,noun,,,,,,,,,,,,,,,,,,,,,,
StumbleUpon,StumbleUpon,StumbleUpon,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
style,样式,樣式,noun,,,,,,,,,,,,,,,,,,,,,,
style sheet,样式表,樣式表,noun,,,,,,,,,,,,,,,,,,,,,,
style variation,样式变化,樣式變化,noun,适用于 WordPress 全站编辑,,,,,,,,,,,,,,,,,,,,,
subdomain,订阅,子網域,noun,,,,,,,,,,,,,,,,,,,,,,
Sublime Text,Sublime Text,Sublime Text,noun,纯文本编辑器名称。,,,,,,,,,,,,,,,,,,,,,
subscribe,约期授权,訂閱,verb,适用于订阅内容,,,,,,,,,,,,,,,,,,,,,
subscribe,订阅者,約期授權,verb,适用于在线服务、软件的授权方式说明,,,,,,,,,,,,,,,,,,,,,
subscriber,订阅,訂閱者,noun,适用于 WordPress 默认用户角色,,,,,,,,,,,,,,,,,,,,,
subscription,约期授权,訂閱,noun,适用于订阅内容,,,,,,,,,,,,,,,,,,,,,
subscription,子标题,約期授權,noun,适用于在线服务、软件的授权方式说明,,,,,,,,,,,,,,,,,,,,,
subtitle,苏丹镑,子標題,noun,,,,,,,,,,,,,,,,,,,,,,
Sudanese pound,苏丹镑,蘇丹鎊,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
summary,摘要,摘要,noun,,,,,,,,,,,,,,,,,,,,,,
Sundanese,巽他语,巽丹文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
super admin,超级管理员,多站網路管理員,noun,适用于 WordPress 多站网络相关内容,,,,,,,,,,,,,,,,,,,,,
Surinamese dollar,苏里南元,蘇利南元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
suspension,暂停,暫停,noun,,,,,,,,,,,,,,,,,,,,,,
swag,纪念品,紀念品,noun,,,,,,,,,,,,,,,,,,,,,,
Swahili,斯瓦希里语,斯瓦希里文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Swati,斯瓦蒂语,斯瓦帝文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Swazi lilangeni,斯威士兰吉尼,史瓦濟蘭里蘭吉尼,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Swedish,瑞典语,瑞典文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Swedish krona,瑞典克朗,瑞典克朗,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Swift Current,斯威夫特卡伦特,斯威夫特卡倫特,noun,,,,,,,,,,,,,,,,,,,,,,
Swiss franc,瑞士法郎,瑞士法郎,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
switch,交换器,交換器,noun,网络通讯装置名称,,,,,,,,,,,,,,,,,,,,,
switch,切换,切換,verb,,,,,,,,,,,,,,,,,,,,,,
switcher,切换器,切換器,noun,,,,,,,,,,,,,,,,,,,,,,
Sydney,悉尼,雪梨,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
symbolic link,符号链接,符號連結,noun,适用于操作系统及文件系统,,,,,,,,,,,,,,,,,,,,,
symlink,符号链接,符號連結,noun,适用于操作系统及文件系统，Symlink 通常是 Symbolic Link (符号链接) 的简写,,,,,,,,,,,,,,,,,,,,,
sync,同步,同步,verb,,,,,,,,,,,,,,,,,,,,,,
synchronization,同步,同步,noun,,,,,,,,,,,,,,,,,,,,,,
synchronize,同步,同步,verb,,,,,,,,,,,,,,,,,,,,,,
Syowa,昭和,昭和站,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Syrian pound,叙利亚镑,敘利亞鎊,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
system,系统,系統,noun,,,,,,,,,,,,,,,,,,,,,,
Tab,Tab 键,Tab 鍵,noun,键盘按键名称,,,,,,,,,,,,,,,,,,,,,
tab,分页,分頁,noun,,,,,,,,,,,,,,,,,,,,,,
Tab,Tab 定位字符,Tab 定位字元,noun,,,,,,,,,,,,,,,,,,,,,,
table,数据表,資料表,noun,适用于数据库,,,,,,,,,,,,,,,,,,,,,
table,表格,表格,noun,,,,,,,,,,,,,,,,,,,,,,
table of contents,目录,目錄,noun,,,,,,,,,,,,,,,,,,,,,,
table of contents,内容目录,內容目錄,noun,,,,,,,,,,,,,,,,,,,,,,
tag,标签,標籤,noun,,,,,,,,,,,,,,,,,,,,,,
tag,标示,標示,verb,,,,,,,,,,,,,,,,,,,,,,
tag base,标签目录起点,標籤目錄起點,noun,,,,,,,,,,,,,,,,,,,,,,
Tag ID,标签ID,代碼 ID,noun,Google 中国官方译文，适用于搜索引擎相关内容及 Google Analystics,,,,,,,,,,,,,,,,,,,,,
Tagalog,他加禄语,塔加拉族文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
tagline,网站标语,網站說明,noun,,,,,,,,,,,,,,,,,,,,,,
Tahiti,塔希提岛,大溪地,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tahitian,大溪地语,大溪地文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Taipei,台北,台北,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tajik,塔吉克语,塔吉克文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Tajikistani somoni,塔吉克斯坦索莫尼,塔吉克斯坦索莫尼,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Tallinn,塔林,塔林,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tamil,泰米尔语,坦米爾文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Tamil (Sri Lanka),泰米尔语（斯里兰卡）,坦米爾文 (斯里蘭卡),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Tanzanian shilling,坦桑尼亚先令,坦尚尼亞先令,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Tarawa,塔拉瓦,塔拉瓦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
target audience,目标对象,目標對象,noun,,,,,,,,,,,,,,,,,,,,,,
Tashkent,塔什干,塔什干,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
task,任务,工作,noun,,,,,,,,,,,,,,,,,,,,,,
Tasmania,塔斯马尼亚,塔斯馬尼亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tatar,鞑靼语,韃靼文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
taxonomy,分类,分類法,noun,,,,,,,,,,,,,,,,,,,,,,
Tbilisi,第比利斯,第比利斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tegucigalpa,特古西加尔巴,德古西加巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tehran,德黑兰,德黑蘭,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Tel Aviv,特拉维夫,特拉維夫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Telegram,Signal,Telegram,noun,即时通讯软件名称,,,,,,,,,,,,,,,,,,,,,
Tell City,特尔城,特爾城,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Telugu,泰卢固语,泰盧固文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
template,模板,範本,noun,,,,,,,,,,,,,,,,,,,,,,
template part,模板部分,範本組件,noun,适用于区块编辑器、网站编辑器相关内容,,,,,,,,,,,,,,,,,,,,,
temporary directory,临时目录,暫存目錄,noun,,,,,,,,,,,,,,,,,,,,,,
temporary file,临时文件,暫存檔案,noun,,,,,,,,,,,,,,,,,,,,,,
term,分类法词汇,分類法詞彙,noun,适用于 WordPress 分类法相关内容,,,,,,,,,,,,,,,,,,,,,
test,测试,測試,verb,,,,,,,,,,,,,,,,,,,,,,
test,测试,測試,noun,,,,,,,,,,,,,,,,,,,,,,
test unit,测试单位,測試單元,noun,,,,,,,,,,,,,,,,,,,,,,
text editor,文本编辑器,文字編輯器,noun,,,,,,,,,,,,,,,,,,,,,,
Thai,泰语,泰文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Thai baht,泰铢,泰銖,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
theme,主题,佈景主題,noun,,,,,,,,,,,,,,,,,,,,,,
theme directory,主题目录,佈景主題目錄,noun,,,,,,,,,,,,,,,,,,,,,,
theme name,主题名称,佈景主題名稱,noun,,,,,,,,,,,,,,,,,,,,,,
theme option,主题选项,佈景主題選項,noun,,,,,,,,,,,,,,,,,,,,,,
Thimbu,廷布,辛布,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Thimphu,廷布,辛布,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
