en,zh-cn,pos,description,,,,,,,,,,,,,,,,,,,,,
Inuvik,因纽维克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
invalid,无效,adjective,,,,,,,,,,,,,,,,,,,,,,
iOS,iOS,noun,操作系统名称,,,,,,,,,,,,,,,,,,,,,
IP,IP 地址,noun,有时候开发者会将 IP Address 写为 Email。请注意，IP 该译为「IP 地址」时，就译为「IP 地址」,,,,,,,,,,,,,,,,,,,,,
IP address,IP 地址,noun,,,,,,,,,,,,,,,,,,,,,,
Iqaluit,伊卡卢伊特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Iranian rial,伊朗里亚尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Iranian toman,伊朗托曼,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Iraqi dinar,伊拉克第纳尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Irish,爱尔兰语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Irkutsk,伊尔库茨克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Isle of Man,马恩岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Israeli new shekel,以色列新谢克尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Istanbul,伊斯坦布尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Italian,意大利语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
italic,斜体,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
item,项目,noun,,,,,,,,,,,,,,,,,,,,,,
item list,项目列表,noun,,,,,,,,,,,,,,,,,,,,,,
iteration,迭代,noun,,,,,,,,,,,,,,,,,,,,,,
Jakarta,雅加达,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jamaica,牙买加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jamaican dollar,牙买加元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Jan Mayen,扬马延岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Japanese,日语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Japanese Formal,日语正式,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Japanese Informal,日语非正式,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Japanese yen,日圆,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Javanese,爪哇语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
JavaScript,JavaScript,noun,,,,,,,,,,,,,,,,,,,,,,
Jayapura,查亚普拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jersey,泽西岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jersey pound,泽西岛镑,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Jerusalem,耶路撒冷,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Johannesburg,约翰内斯堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Johnston,约翰斯顿,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jordanian dinar,约旦第纳尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
jQuery,jQuery,noun,,,,,,,,,,,,,,,,,,,,,,
Juba,朱巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jujuy,胡胡伊省,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Juneau,朱诺,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kabul,喀布尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kabyle,卡比尔语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
KakaoTalk,KakaoTalk,noun,即时通讯软件名称,,,,,,,,,,,,,,,,,,,,,
Kalaallisut,格陵兰语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kaliningrad,加里宁格勒,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kamchatka,堪察加半岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kampala,坎帕拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kannada,卡纳达语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kanton,坎顿,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kanuri,卡努里语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Karachi,卡拉奇,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kartuli,格鲁吉亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kashgar,喀什市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kashmiri,克什米尔,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Katakana,日文片假名,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Katakana-Iroha,日文片假名 (伊吕波歌),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kathmandu,加德满都,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Katmandu,加德满都,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kazakh,哈萨克语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kazakhstani tenge,哈萨克斯坦坚戈,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Kentucky,肯塔基州,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kenyan shilling,肯尼亚先令,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Kerguelen,凯尔盖朗,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
keyboard,键盘,noun,,,,,,,,,,,,,,,,,,,,,,
keyboard shortcut,键盘快捷键,noun,,,,,,,,,,,,,,,,,,,,,,
Khandyga,汉德加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Khartoum,喀土穆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Khmer,高棉语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kiev,基辅,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kigali,基加利,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kikuyu,基库尤语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kinshasa,金沙萨,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kinyarwanda,卢旺达语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kirghiz,吉尔吉斯语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kiritimati,基里蒂马蒂,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kirov,基洛夫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kirundi,基隆迪,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
kit,套件,noun,,,,,,,,,,,,,,,,,,,,,,
Knox,诺克斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Knox IN,诺克斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kolkata,加尔各答,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Komi,科米语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kongo,刚果语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Korea (the Democratic People's Republic of),朝鲜（民主主义人民共和国）,noun,,,,,,,,,,,,,,,,,,,,,,
Korea (the Republic of),韩国（共和国）,noun,,,,,,,,,,,,,,,,,,,,,,
Korean,韩语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Korean Hangul Formal,韩国韩语 (正式),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Korean Hanja Formal,韩国汉字 (正式),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Korean Hanja Informal,韩国汉字 (口语),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kosrae,科斯雷,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kralendijk,克拉伦代克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Krasnoyarsk,克拉斯诺亚尔斯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kuala Lumpur,吉隆坡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kuching,古晋,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kurdish,库尔德,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kurdish (Sorani),库尔德语（索拉尼语）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kuwait,科威特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kuwaiti dinar,科威特第纳尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Kwajalein,夸贾林环礁,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kwanyama,宽亚马,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Kyiv,基辅,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstani som,吉尔吉斯斯坦索姆,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
L10N,本地化,noun,L10N 是 Localization (本地化) 的缩写，因为原文中的 L 及 N 之间有 10 个字母,,,,,,,,,,,,,,,,,,,,,
L10N,L10N,noun,L10N 是 Localization (本地化) 的缩写，因为原文中的 L 及 N 之间有 10 个字母,,,,,,,,,,,,,,,,,,,,,
La Paz,拉巴斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
La Rioja,拉里奥哈,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lagos,拉各斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
landing page,着陆页,noun,,,,,,,,,,,,,,,,,,,,,,
language pack,语言包,noun,,,,,,,,,,,,,,,,,,,,,,
Lao,寮语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lao,老挝,noun,,,,,,,,,,,,,,,,,,,,,,
Lao kip,老挝基普,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republi,老挝人民民主共和国,noun,,,,,,,,,,,,,,,,,,,,,,
Laos,老挝,noun,,,,,,,,,,,,,,,,,,,,,,
Laotian,老挝语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Latin,拉丁语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Latvian,拉脱维亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
launch,启动,verb,,,,,,,,,,,,,,,,,,,,,,
layout,布局,noun,,,,,,,,,,,,,,,,,,,,,,
lazy load,延迟加载,noun,,,,,,,,,,,,,,,,,,,,,,
lazy load,延迟加载,verb,,,,,,,,,,,,,,,,,,,,,,
Lebanese pound,黎巴嫩镑,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
left arrow key,向左键,noun,键盘按键名称,,,,,,,,,,,,,,,,,,,,,
left brace,左大括号,noun,,,,,,,,,,,,,,,,,,,,,,
left parenthesis,左括号,noun,,,,,,,,,,,,,,,,,,,,,,
Left to Right,从左至右,noun,文字方向,,,,,,,,,,,,,,,,,,,,,
left-click,点击左键,verb,操作键盘、鼠标及屏幕,,,,,,,,,,,,,,,,,,,,,
legacy,旧版,adjective,,,,,,,,,,,,,,,,,,,,,,
legacy,旧式,adjective,,,,,,,,,,,,,,,,,,,,,,
legacy,传统,adjective,,,,,,,,,,,,,,,,,,,,,,
legend,图例,noun,,,,,,,,,,,,,,,,,,,,,,
legitimate,合法,adjective,,,,,,,,,,,,,,,,,,,,,,
legitimate,正当,adjective,,,,,,,,,,,,,,,,,,,,,,
Lesotho loti,莱索托洛蒂,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
letter,字母,noun,,,,,,,,,,,,,,,,,,,,,,
LHI,罗豪岛,noun,,,,,,,,,,,,,,,,,,,,,,
Liberian dollar,利比里亚元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Libreville,利伯维尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Libyan dinar,利比亚第纳尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
license,许可,noun,,,,,,,,,,,,,,,,,,,,,,
license,许可方式,noun,,,,,,,,,,,,,,,,,,,,,,
license key,许可密钥,noun,,,,,,,,,,,,,,,,,,,,,,
lifetime license,终身许可,noun,,,,,,,,,,,,,,,,,,,,,,
lightbox,灯箱,noun,,,,,,,,,,,,,,,,,,,,,,
lightness,亮度,noun,,,,,,,,,,,,,,,,,,,,,,
lightweight,轻量化,adjective,,,,,,,,,,,,,,,,,,,,,,
Lima,利马,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Limburgish,林堡语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lindeman,林德曼岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
LINE,LINE,noun,即时通讯软件名称,,,,,,,,,,,,,,,,,,,,,
LINE,LINE,noun,即时通讯软件名称，LINE 全大写,,,,,,,,,,,,,,,,,,,,,
line break,分行符号,noun,,,,,,,,,,,,,,,,,,,,,,
Lingala,林加拉语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Link,链接,noun,WordPress 核心程序内建的文章格式 (Post Format) 之一，需要主题支持才能显示,,,,,,,,,,,,,,,,,,,,,
link,链接,noun,,,,,,,,,,,,,,,,,,,,,,
LinkedIn,LinkedIn,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Linux,Linux,noun,操作系统名称,,,,,,,,,,,,,,,,,,,,,
Lisbon,里斯本,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
list,列表,noun,,,,,,,,,,,,,,,,,,,,,,
list view,列表视图,noun,适用于检视方式名称,,,,,,,,,,,,,,,,,,,,,
Lithuanian,立陶宛语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Ljubljana,卢布尔雅那,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
loader,引导程序,noun,,,,,,,,,,,,,,,,,,,,,,
local,本机,noun,本机所代表的装置不一定就在操作者身旁，也可以是操作者所操作的远程装置的本机,,,,,,,,,,,,,,,,,,,,,
locale,地区语言,noun,,,,,,,,,,,,,,,,,,,,,,
localization,本土化,noun,,,,,,,,,,,,,,,,,,,,,,
lock down,封锁,verb,,,,,,,,,,,,,,,,,,,,,,
lockdown,封锁,noun,,,,,,,,,,,,,,,,,,,,,,
log,日志,noun,,,,,,,,,,,,,,,,,,,,,,
log,日志,verb,,,,,,,,,,,,,,,,,,,,,,
log in,登录,verb,,,,,,,,,,,,,,,,,,,,,,
log out,注销,verb,,,,,,,,,,,,,,,,,,,,,,
login,登录,noun,,,,,,,,,,,,,,,,,,,,,,
login,登录,verb,,,,,,,,,,,,,,,,,,,,,,
logo,标志,noun,不是全部的 Logo 都是「商标」，使用「标志」比较中性,,,,,,,,,,,,,,,,,,,,,
logout,注销,verb,,,,,,,,,,,,,,,,,,,,,,
logout,注销,noun,,,,,,,,,,,,,,,,,,,,,,
Lome,洛美,noun,,,,,,,,,,,,,,,,,,,,,,
London,伦敦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
long tail,长尾,adjective,,,,,,,,,,,,,,,,,,,,,,
long-tail,长尾,adjective,,,,,,,,,,,,,,,,,,,,,,
Longyearbyen,朗伊尔城,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
look up,查找,verb,,,,,,,,,,,,,,,,,,,,,,
lookup,查找,verb,,,,,,,,,,,,,,,,,,,,,,
loop,循环,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
loopback,回环,verb,,,,,,,,,,,,,,,,,,,,,,
loopback address,回环地址,noun,,,,,,,,,,,,,,,,,,,,,,
Lord Howe,豪勋爵,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Los Angeles,洛杉矶,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Louisville,刘易斯维尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lower Alpha/Latin,小写拉丁字符,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lower Armenian,小写亚美尼亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lower Greek,小写希腊字母,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lower Princes,下太子区,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lower Roman,下罗马语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lower Sorbian,下索布语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
LTR,LTR,noun,文字方向 Left to Right (从左到右) 的缩写，例如英文、繁体中文,,,,,,,,,,,,,,,,,,,,,
LTR,从左至右,noun,文字方向 Left to Right (从左到右) 的缩写，例如英文、繁体中文,,,,,,,,,,,,,,,,,,,,,
Luanda,罗安达,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Luba-Katanga,卢巴卡丹加语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lubumbashi,卢本巴希,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lusaka,卢萨卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Luxembourg,卢森堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Luxembourgish,卢森堡语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Macanese pataca,澳门币,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Macao,澳门,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Macau,澳门,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Macedonian,马其顿语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Macedonian denar,马其顿代纳尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Maceio,马塞约,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
macOS,macOS,noun,操作系统名称,,,,,,,,,,,,,,,,,,,,,
Macquarie,麦格理岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Madeira,马德拉群岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Madrid,马德里,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Magadan,马加丹,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mahe,马埃岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mailchimp,Mailchimp,noun,邮件发信服务,,,,,,,,,,,,,,,,,,,,,
mailer,邮件程序,noun,,,,,,,,,,,,,,,,,,,,,,
maintenance,维护,noun,,,,,,,,,,,,,,,,,,,,,,
Majuro,马朱罗,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Makassar,望加锡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Malabo,马拉博,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Malagasy,马尔加什,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Malagasy ariary,马达加斯加阿里阿里,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Malawian kwacha,马拉维克瓦查,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Malay,马来语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Malayalam,马拉雅拉姆语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Malaysian ringgit,马来西亚林吉特,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Maldives,马尔代夫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Maldivian rufiyaa,马尔代夫拉菲亚,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
malicious software,恶意软件,noun,,,,,,,,,,,,,,,,,,,,,,
Malta,马耳他,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Maltese,马耳他语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Malvinas,马尔维纳斯,noun,,,,,,,,,,,,,,,,,,,,,,
malware,恶意软件,noun,,,,,,,,,,,,,,,,,,,,,,
manage,管理,verb,,,,,,,,,,,,,,,,,,,,,,
management,管理,noun,,,,,,,,,,,,,,,,,,,,,,
management,管理工作,noun,,,,,,,,,,,,,,,,,,,,,,
manager,管理器,noun,,,,,,,,,,,,,,,,,,,,,,
Managua,马那瓜,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Manaus,马瑙斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
manifest,信息清单,noun,,,,,,,,,,,,,,,,,,,,,,
Manila,马尼拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
manual install,手动安装,verb,,,,,,,,,,,,,,,,,,,,,,
manual installation,手动安装,noun,,,,,,,,,,,,,,,,,,,,,,
manually install,手动安装,verb,,,,,,,,,,,,,,,,,,,,,,
Manx,曼岛语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Manx pound,马恩岛镑,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Maori,毛利语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
mapping,映射,adjective,,,,,,,,,,,,,,,,,,,,,,
Maputo,马普托,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Marathi,马拉地语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Marengo,马伦戈,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
margin,边界,noun,,,,,,,,,,,,,,,,,,,,,,
MariaDB,MariaDB,noun,数据库名称,,,,,,,,,,,,,,,,,,,,,
Mariehamn,玛丽港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Marigot,马里戈特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
mark,标记,verb,,,,,,,,,,,,,,,,,,,,,,
Marquesas,马克萨斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Marshallese,马绍尔语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Martinique,马提尼克岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Maseru,马塞卢,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mastodon,Mastodon,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Matamoros,马塔莫罗斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mauritanian ouguiya,毛里塔尼亚乌吉亚,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Mauritian rupee,毛里求斯卢比,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Mauritius,毛里求斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mawson,莫森,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mayotte,马约特岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mazatlan,马萨特兰,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mbabane,姆巴巴内,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
McMurdo,麦克默多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
measurement,测量,noun,,,,,,,,,,,,,,,,,,,,,,
media,媒体,noun,,,,,,,,,,,,,,,,,,,,,,
media library,媒体库,noun,,,,,,,,,,,,,,,,,,,,,,
media uploader,媒体上传器,noun,,,,,,,,,,,,,,,,,,,,,,
Meetup,Meetup 聚会,noun,,,,,,,,,,,,,,,,,,,,,,
Melbourne,墨尔本,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
memory,内存,noun,,,,,,,,,,,,,,,,,,,,,,
memory leak,内存泄漏,noun,适用于程序开发。意指当程序配置了可供使用的内存，但在执行完成后未释放这些配置的内存的情况。,,,,,,,,,,,,,,,,,,,,,
Mendoza,门多萨,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Menominee,梅诺米尼,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
menu,菜单,noun,适用于餐饮及餐饮业相关内容,,,,,,,,,,,,,,,,,,,,,
menu,菜单,noun,适用于信息系统,,,,,,,,,,,,,,,,,,,,,
Merida,梅里达,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Messenger,Messenger,noun,即时通讯软件名称,,,,,,,,,,,,,,,,,,,,,
method,方法,noun,,,,,,,,,,,,,,,,,,,,,,
Metlakatla,梅特拉卡特拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
MeWe,MeWe,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Mexican peso,墨西哥比绍,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Mexico City,墨西哥城,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Microsoft,微软,noun,,,,,,,,,,,,,,,,,,,,,,
Midway,中途岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
migrate,迁移,verb,,,,,,,,,,,,,,,,,,,,,,
migration,迁移,noun,,,,,,,,,,,,,,,,,,,,,,
million,百万,noun,不要直译，该换算成本地用法就换算。举例来说，10 thousand 是 1 万 (不是 10 千)，12 million 是 1 千 2 百万 (或 1200 万，不是 12 百万)，1.4 billion 是 14 亿 (不是 1.4 十亿),,,,,,,,,,,,,,,,,,,,,
MIME,MIME,noun,,,,,,,,,,,,,,,,,,,,,,
MIME Type,MIME 类型,noun,,,,,,,,,,,,,,,,,,,,,,
minimum requirement,最低安装要求,noun,,,,,,,,,,,,,,,,,,,,,,
Minsk,明斯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Miquelon,密克隆群岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
modal,强制回应对话框,noun,,,,,,,,,,,,,,,,,,,,,,
mode,模式,noun,,,,,,,,,,,,,,,,,,,,,,
model,模型,noun,,,,,,,,,,,,,,,,,,,,,,
model,型号,noun,,,,,,,,,,,,,,,,,,,,,,
modern,新式,adjective,,,,,,,,,,,,,,,,,,,,,,
modification,修改,noun,,,,,,,,,,,,,,,,,,,,,,
